FID,OBJECTID,GEOID10,ALAND10,AWATER10,POP100,HU100,Type,Res,BG_ID_10,CT_ID_10,BOSNA_R_ID,NSA_NAME,BRA_PD_ID,BRA_PD,ZIPCODE,City_Counc,WARD,ISD_Nbhd,Police_Dis,Fire_Distr,PWD,Shape_Leng,Shape_Area
0,1,250250101031,101211,0,2111,309,I,0,250250101031,25025010103,32,Kenmore,7,Fenway/Kenmore,2215,8,21,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.020754084,1.10584E-05
1,2,250250104053,39125,0,626,355,I,0,250250104053,25025010405,31,Fenway,7,Fenway/Kenmore,2115,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.008287537,4.27415E-06
2,3,250250102033,67710,0,1563,1078,I,0,250250102033,25025010203,33,West Fens,7,Fenway/Kenmore,2215,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.012435924,7.39711E-06
3,4,250250102032,115062,0,2369,1526,I,0,250250102032,25025010203,33,West Fens,7,Fenway/Kenmore,2215,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.015750495,1.25707E-05
4,5,250250102041,39843,0,1098,287,I,0,250250102041,25025010204,32,Kenmore,7,Fenway/Kenmore,2215,8,21,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.01284665,4.35315E-06
5,6,250250103001,148675,0,1810,282,I,0,250250103001,25025010300,31,Fenway,7,Fenway/Kenmore,2115,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.021508075,1.62414E-05
6,7,250250406001,1255193,420711,863,491,I,0,250250406001,25025040600,10,Medford St/The Neck,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.092725869,0.000183207
7,8,250250406002,171706,0,1581,843,R,1,250250406002,25025040600,10,Medford St/The Neck,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.02101384,1.877E-05
8,9,250250408011,59457,0,1061,530,R,1,250250408011,25025040801,11,Thompson Sq/Bunker Hill,2,Charlestown,2129,1,2,Charlestown,15,3,1-1A:  Charlestown,0.010882827,6.49926E-06
9,10,250250501013,75213,0,1930,684,R,1,250250501013,25025050101,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.016449765,8.22161E-06
10,11,250250501011,110372,0,1713,534,R,1,250250501011,25025050101,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.015900511,1.20653E-05
11,12,250250502002,73449,0,1151,445,R,1,250250502002,25025050200,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.018018042,8.02819E-06
12,13,250250502001,96799,0,2189,757,R,1,250250502001,25025050200,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.014723253,1.05809E-05
13,14,250250502003,29731,0,836,283,R,1,250250502003,25025050200,28,Eagle Hill,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.010614117,3.24993E-06
14,15,250250503002,125080,92724,1524,759,R,1,250250503002,25025050300,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.023810245,2.38043E-05
15,16,250250503001,230248,271373,727,282,R,1,250250503001,25025050300,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.033607611,5.48281E-05
16,17,250250504002,93322,0,1735,797,R,1,250250504002,25025050400,30,Jeffries Point/Airport,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.012654549,1.01992E-05
17,18,250250504001,38657,0,637,238,R,1,250250504001,25025050400,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.008809679,4.22494E-06
18,19,250250505001,114773,0,1857,702,R,1,250250505001,25025050500,30,Jeffries Point/Airport,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.014792931,1.25441E-05
19,20,250250506001,86296,0,1248,494,R,1,250250506001,25025050600,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.014715319,9.43209E-06
20,21,250250507001,89468,0,1684,617,R,1,250250507001,25025050700,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.015043446,9.77899E-06
21,22,250250507003,119908,0,1476,505,R,1,250250507003,25025050700,27,Central-Maverick Sq/Paris St,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.019751226,1.31062E-05
22,23,250250510002,576855,210152,962,462,R,1,250250510002,25025051000,29,Harbor View/Orient Heights,1,East Boston,2128,1,1,East Boston,7,1,1-09:  East Boston,0.051520405,8.60421E-05
23,24,250250103002,360533,0,3051,134,I,0,250250103002,25025010300,49,Medical Center Area,7,Fenway/Kenmore,2115,8,4,Fenway/Kenmore,2,9,1-10A: Kenmore/Fenway/Mission Hill,0.027152115,3.93856E-05
24,25,250250104032,25354,0,1020,668,I,0,250250104032,25025010403,31,Fenway,7,Fenway/Kenmore,2115,8,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.007865698,2.76992E-06
25,26,250250104041,63490,0,2353,1170,I,0,250250104041,25025010404,31,Fenway,7,Fenway/Kenmore,2115,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.012666234,6.93614E-06
26,27,250250104051,240376,0,2591,6,I,0,250250104051,25025010405,31,Fenway,7,Fenway/Kenmore,2115,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill,0.025225664,2.62588E-05
27,28,250250105002,37713,0,1099,744,I,0,250250105002,25025010500,9,Prudential/St Botolph,5,Back Bay/Beacon Hill,2115,7,4,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.010318912,4.12018E-06
28,29,250250105003,34465,0,992,674,I,0,250250105003,25025010500,9,Prudential/St Botolph,5,Back Bay/Beacon Hill,2115,7,4,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.010150359,3.76534E-06
29,30,250250105001,116355,10075,953,349,I,0,250250105001,25025010500,31,Fenway,7,Fenway/Kenmore,2115,7,4,Fenway/Kenmore,4,4,1-1C: Back Bay/South End/Downtown,0.016833365,1.38127E-05
30,31,250250106002,88646,0,1299,942,I,0,250250106002,25025010600,9,Prudential/St Botolph,5,Back Bay/Beacon Hill,2116,2,4,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.014242387,9.6849E-06
31,32,250250106001,250859,0,1559,1383,I,0,250250106001,25025010600,9,Prudential/St Botolph,5,Back Bay/Beacon Hill,2199,2,4,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.032119407,2.74082E-05
32,33,250250108011,28349,0,664,354,R,1,250250108011,25025010801,7,Back Bay East,5,Back Bay/Beacon Hill,2116,8,5,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.007636882,3.09767E-06
33,34,250250108021,59722,0,1052,684,R,1,250250108021,25025010802,8,Back Bay West,5,Back Bay/Beacon Hill,2115,8,5,Back Bay,4,4,1-1C: Back Bay/South End/Downtown,0.011903682,6.52554E-06
