GEOID10,ALAND10,AWATER10,POP100,HU100,Type,Res,CT_ID_10,BRA_PD_ID,BRA_PD,City_Counc,WARD,ISD_Nbhd,Police_Dis,Fire_Distr,PWD
25025000100,1794942,0,4254.000000,1707.000000,I,0.000000,25025000100,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000201,599378,0,3854.000000,1618.000000,R,1.000000,25025000201,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000202,601637,0,3885.000000,1522.000000,R,1.000000,25025000202,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000301,572307,0,2740.000000,1219.000000,R,1.000000,25025000301,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000302,589888,46101,3142.000000,1346.000000,R,1.000000,25025000302,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000401,431043,0,5672.000000,2965.000000,R,1.000000,25025000401,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000402,806765,0,3648.000000,1543.000000,I,0.000000,25025000402,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000502,863889,334529,6303.000000,2041.000000,P,0.000000,25025000502,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000503,139156,0,2211.000000,1408.000000,R,1.000000,25025000503,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000504,333187,0,4985.000000,2726.000000,R,1.000000,25025000504,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000601,495044,0,3571.000000,1525.000000,R,1.000000,25025000601,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000602,599777,0,3974.000000,2035.000000,R,1.000000,25025000602,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000701,230433,0,4446.000000,2359.000000,R,1.000000,25025000701,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000703,178020,0,2791.000000,1418.000000,R,1.000000,25025000703,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000704,239781,0,4801.000000,2405.000000,R,1.000000,25025000704,8,Allston/Brighton,9,21,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000802,977475,0,8136.000000,3129.000000,I,0.000000,25025000802,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025000803,1158191,0,6584.000000,946.000000,I,0.000000,25025000803,8,Allston/Brighton,9,22,Allston/Brighton,14,11,2-04:  Allston/Brighton
25025010103,273032,0,4569.000000,528.000000,I,0.000000,25025010103,7,Fenway/Kenmore,8,21,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010104,279354,7377,4804.000000,2136.000000,I,0.000000,25025010104,7,Fenway/Kenmore,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010203,365106,1185,5569.000000,3663.000000,I,0.000000,25025010203,7,Fenway/Kenmore,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010204,254706,0,3173.000000,1283.000000,I,0.000000,25025010204,7,Fenway/Kenmore,8,21,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010300,509208,0,4861.000000,416.000000,I,0.000000,25025010300,7,Fenway/Kenmore,8,4,Fenway/Kenmore,2,9,1-10A: Kenmore/Fenway/Mission Hill
25025010403,88556,0,3003.000000,2076.000000,I,0.000000,25025010403,7,Fenway/Kenmore,8,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010404,136829,0,5817.000000,1862.000000,I,0.000000,25025010404,7,Fenway/Kenmore,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010405,363702,0,5522.000000,994.000000,I,0.000000,25025010405,7,Fenway/Kenmore,7,4,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010408,43381,0,1426.000000,961.000000,I,0.000000,25025010408,7,Fenway/Kenmore,8,5,Fenway/Kenmore,4,4,1-10A: Kenmore/Fenway/Mission Hill
25025010500,188533,10075,3044.000000,1767.000000,I,0.000000,25025010500,7,Fenway/Kenmore,7,4,Fenway/Kenmore,4,4,1-1C: Back Bay/South End/Downtown
