school ,tot,min,dis,stw
SKANEATELES MIDDLE SCHOOL,380,0.03,0.00,0
MARCUS WHITMAN MIDDLE SCHOOL,276,0.04,0.00,0
BLIND BROOK-RYE MIDDLE SCHOOL,376,0.09,0.00,0
BRONXVILLE MIDDLE SCHOOL,404,0.11,0.00,0
BRIARCLIFF MIDDLE SCHOOL,374,0.12,0.00,0
RYE MIDDLE SCHOOL,754,0.17,0.00,0
EASTCHESTER MIDDLE SCHOOL,704,0.26,0.00,0
SCARSDALE MIDDLE SCHOOL,1172,0.27,0.00,0
EDGEMONT JUNIOR-SENIOR HIGH SCHOOL,920,0.42,0.00,0
SEVEN BRIDGES MIDDLE SCHOOL,619,0.17,0.01,0
H C CRITTENDEN MIDDLE SCHOOL,677,0.08,0.02,0
JOHN JAY MIDDLE SCHOOL,858,0.15,0.02,0
H B THOMPSON MIDDLE SCHOOL,821,0.30,0.02,0
SOUTH WOODS MIDDLE SCHOOL,746,0.31,0.03,0
PAUL J GELINAS JUNIOR HIGH SCHOOL,976,0.12,0.03,0
MILDRED E STRANG MIDDLE SCHOOL,925,0.20,0.04,0
ALBERT G PRODELL MIDDLE SCHOOL,622,0.10,0.04,0
COMMACK MIDDLE SCHOOL,1768,0.12,0.05,0
PORT JEFFERSON MIDDLE SCHOOL,307,0.14,0.05,0
MERRICK AVENUE MIDDLE SCHOOL,918,0.09,0.05,0
H B MATTLIN MIDDLE SCHOOL,746,0.12,0.05,0
ARDSLEY MIDDLE SCHOOL,620,0.31,0.05,0
ROBERT CUSHMAN MURPHY JUNIOR HIGH SCHOOL,927,0.16,0.05,0
MOUNT SINAI MIDDLE SCHOOL,806,0.11,0.05,0
FARRAGUT MIDDLE SCHOOL,469,0.25,0.06,0
PIERSON MIDDLE/HIGH SCHOOL,530,0.19,0.06,0
SOMERS MIDDLE SCHOOL,809,0.10,0.06,0
HERRICKS MIDDLE SCHOOL,954,0.60,0.06,0
MANHASSET MIDDLE SCHOOL,587,0.23,0.06,0
NORTH SHORE MIDDLE SCHOOL,688,0.14,0.07,0
NORTHPORT MIDDLE SCHOOL,788,0.09,0.07,0
PEARL RIVER MIDDLE SCHOOL,626,0.14,0.07,0
GOWANA MIDDLE SCHOOL,800,0.08,0.07,0
ACCOMPSETT MIDDLE SCHOOL,756,0.09,0.07,0
ACADIA MIDDLE SCHOOL,805,0.15,0.07,0
A MACARTHUR BARR MIDDLE SCHOOL,714,0.31,0.07,0
NESAQUAKE MIDDLE SCHOOL,796,0.08,0.07,0
